"Timestamp","BTOffset","Init_Angles","GraspSteps","CumulativeReward","checkpointVisitedTimes","Vaild_CP","First_CP_Step"
"2024-10-03 18:39:24","0.005692953,-0.01881608,0.1350485","33.12938,53.42336,-9.967728,33.21912,4.796319,-38.10284","30","0.1858","44,44,44,44,44,44,36,8,2,1,1,0,0","7","6"
"2024-10-03 18:39:39","-0.00686908,-0.03542589,0.1383793","-1.550674,36.04482,8.243444,18.10862,43.74499,-54.7022","22","0.15865","47,47,47,46,45,41,21,7,5,3,0,0,0","6","4"
"2024-10-03 18:39:52","0.01687423,-0.04348951,0.1237525","-5.168522,34.32422,12.88242,41.26366,35.333,-41.89212","12","0.03945001","39,37,35,31,28,15,6,2,1,0,0,0,0","5","4"
"2024-10-03 18:40:10","-0.01555805,-0.03799593,0.1308796","1.250913,36.40755,12.78607,19.72645,20.60171,-28.94136","35","0.08600001","45,45,45,44,39,26,15,9,5,0,0,0,0","6","4"
"2024-10-03 18:41:11","0.003645669,-0.03535746,0.1368906","10.08158,24.56056,24.81563,30.91286,54.13299,-70.93135","17","0.0837","40,39,39,38,37,30,10,3,1,1,0,0,0","6","4"
"2024-10-03 18:41:24","0.003813615,0.001601287,0.1448341","21.71453,26.80602,21.97076,13.5976,41.88652,-47.1117","11","0.05924999","33,33,33,33,29,19,6,2,2,1,0,0,0","6","4"
"2024-10-03 18:41:39","0.005668351,-0.0538933,0.1399535","7.244947,28.11692,19.74432,22.69321,44.48304,-50.62497","22","0.04020001","40,39,37,33,26,19,10,4,1,1,1,0,0","5","4"
"2024-10-03 18:41:52","-0.0008891816,-0.006367198,0.1420818","15.2389,29.76349,17.40189,8.623532,43.22928,-38.82977","11","0.1349","40,40,40,40,40,36,25,19,11,3,1,0,0","7","4"
"2024-10-03 18:42:06","0.003669462,-0.0316975,0.1387566","1.018551,33.01981,12.7578,19.93732,44.1912,-51.30452","18","0.09950001","39,38,38,37,37,35,16,6,3,1,0,0,0","6","4"
"2024-10-03 18:42:19","0.001512264,-0.01963218,0.1396841","7.828237,27.52273,21.30672,17.14043,42.47307,-39.10799","12","0.15275","42,41,41,41,41,37,28,13,6,3,1,0,0","7","4"
"2024-10-03 18:42:34","-0.001173967,-0.04720966,0.1270092","10.60418,40.27012,3.446264,33.09588,36.47747,-46.53176","19","0.08410002","41,41,39,39,37,28,11,2,1,0,0,0,0","6","5"
"2024-10-03 18:42:50","-0.002306852,-0.01931356,0.1335239","5.687063,38.51083,6.572141,33.9692,34.88172,-55.18807","24","0.17695","43,43,43,43,43,41,35,12,1,0,0,0,0","7","4"
"2024-10-03 18:43:04","-7.738592E-05,-0.01845145,0.1392823","14.79324,15.45177,38.85336,47.57828,42.89622,-76.55798","19","0.1283","46,46,46,46,45,40,23,3,1,1,0,0,0","6","4"
"2024-10-03 18:43:18","0.01003729,0.0197118,0.1377119","19.13314,18.54698,31.75265,1.189116,55.68145,-20.99102","16","0.196","46,46,46,46,46,45,42,16,3,0,0,0,0","7","5"
"2024-10-03 18:43:36","-0.004080903,-0.01871283,0.1379061","1.949033,39.74005,4.102317,33.36203,38.22001,-43.6599","34","0.18145","47,47,47,47,47,47,33,12,3,0,0,0,0","7","4"
"2024-10-03 18:43:55","0.01164026,-0.03803276,0.1300701","7.887809,35.91915,10.51946,26.15449,32.58087,-46.28308","43","0.0687","32,32,31,31,29,23,10,3,2,1,0,0,0","6","4"
"2024-10-03 18:44:10","-0.008268121,-0.03740098,0.1358837","11.00666,31.85519,15.17139,23.50892,39.15172,-29.3995","18","0.09975001","44,44,44,43,43,33,15,8,1,1,0,0,0","6","4"
"2024-10-03 18:44:22","-0.003723567,-0.03120351,0.1373717","8.858448,23.53865,26.07413,15.28563,44.52784,-46.79686","7","0.13215","47,47,47,47,47,45,21,3,1,0,0,0,0","6","4"
"2024-10-03 18:44:37","0.01139368,0.05310056,0.1365435","2.573524,22.0758,27.72457,18.76413,49.12626,-7.315676","24","0.6545001","42,42,42,42,42,42,42,41,41,30,22,8,1","11","5"
"2024-10-03 18:44:51","-0.00730583,0.003993324,0.1417337","-3.034498,19.58917,30.80961,8.821308,50.29675,-34.80528","12","0.11845","47,47,47,47,46,41,12,2,2,0,0,0,0","6","4"
"2024-10-03 18:45:06","0.002705513,-0.02168513,0.1419364","11.19986,26.80994,21.9757,27.61709,45.23133,-27.27718","21","0.16815","47,47,47,47,47,45,31,16,4,3,1,0,0","7","4"
"2024-10-03 18:45:22","-0.01335777,-0.04849001,0.1411636","6.139771,28.54333,19.70506,18.69649,40.99286,-35.10619","30","0.04165001","40,39,38,34,26,13,4,1,1,0,0,0,0","5","4"
"2024-10-03 18:45:38","0.001302881,-0.03315539,0.1327579","12.48961,37.18906,7.658643,36.6581,37.95898,-65.5619","22","0.10865","46,46,46,46,45,36,6,0,0,0,0,0,0","6","5"
"2024-10-03 18:45:51","-0.0007705365,-0.00645941,0.1442583","14.02907,22.42855,30.48459,24.55337,28.33604,-33.43189","14","0.1564","39,39,39,39,39,38,31,13,2,0,0,0,0","7","4"
"2024-10-03 18:46:06","0.0001863241,-0.006376823,0.1445359","0.3348095,24.00932,26.00261,20.74271,40.74681,-36.61302","21","0.308","47,47,47,47,47,47,42,30,15,5,0,0,0","8","4"
"2024-10-03 18:46:19","0.003671493,-0.02093226,0.144248","-3.779068,30.36203,16.28926,27.46307,44.25007,-48.35184","8","0.15965","47,47,47,47,47,38,24,13,9,5,2,0,0","7","4"
"2024-10-03 18:46:31","-0.000908314,-0.01032595,0.1430703","10.43866,18.72975,33.09375,24.83375,47.37725,-25.45177","9","0.19335","47,47,47,47,47,46,39,21,6,2,0,0,0","7","4"
"2024-10-03 18:46:41","0,0,0","0,0,0,0,0,0","0","0","0","0","0"
"2024-10-03 18:46:58","-0.005624983,-0.01921929,0.1402792","-4.248196,27.51215,20.53477,16.29398,43.78274,-40.1644","31","0.18535","47,47,47,47,46,45,33,11,4,0,0,0,0","7","4"
"2024-10-03 18:47:13","0.002319318,-0.01483501,0.1363642","9.780285,29.27707,20.95058,35.87944,28.16601,-68.06698","17","0.2275","47,47,47,47,46,44,37,26,11,5,2,0,0","8","4"
"2024-10-03 18:47:26","0.002271203,-0.03290075,0.1398981","11.23742,29.53532,19.27275,38.29848,34.41182,-44.2965","14","0.04245001","34,33,33,29,28,14,4,1,1,1,1,1,0","5","4"
"2024-10-03 18:47:44","-0.001899556,-0.002861173,0.1422586","19.95736,24.70485,25.10756,14.56596,39.01821,-32.66574","34","0.2491","47,47,47,47,46,46,44,28,14,1,0,0,0","8","4"
"2024-10-03 18:47:58","0.002296117,-0.03474833,0.1346161","5.52761,25.85082,23.58134,17.5072,39.37374,-66.9612","18","0.05295001","41,41,40,39,27,13,4,1,0,0,0,0,0","5","4"
"2024-10-03 18:48:15","0.01001635,-0.0222726,0.1427408","0.6077876,27.97056,20.33697,25.71373,38.51286,-35.92024","29","0.2015499","47,47,47,47,47,46,35,14,4,1,0,0,0","7","4"
"2024-10-03 18:48:30","-0.004171171,-0.01064664,0.1423625","7.691949,28.58339,18.47473,17.77839,45.2165,-61.01097","21","0.2112","47,47,47,47,47,44,34,25,10,2,0,0,0","8","4"
"2024-10-03 18:48:45","-0.01464033,0.04033982,0.1449378","0.6647998,21.78839,27.87177,13.62677,46.83798,-11.38899","22","0.3897999","44,44,44,44,44,43,43,43,31,8,2,1,1","9","3"
"2024-10-03 18:48:58","0.0003948743,-0.01610938,0.1416804","20.95368,19.74176,32.00169,23.73609,40.89112,-39.90709","10","0.158","41,41,41,40,40,38,33,10,4,0,0,0,0","7","4"
"2024-10-03 18:49:08","0,0,0","0,0,0,0,0,0","0","0","0","0","0"
"2024-10-03 18:49:24","-0.004581812,0.03059684,0.1415211","13.53305,14.58319,38.18497,19.33105,45.07531,-28.10755","27","0.3122","48,47,47,47,47,47,47,44,5,1,0,0,0","8","3"
"2024-10-03 18:49:37","-0.004845766,-0.01451162,0.136478","18.5851,37.56261,6.103829,26.53641,40.18326,-49.41745","11","0.2627999","47,47,47,47,46,46,42,26,13,2,0,0,0","8","4"
"2024-10-03 18:49:49","-0.007432801,-0.03614137,0.1359784","3.249788,30.06359,16.33903,15.12005,44.48406,-62.77406","4","0.09570003","46,46,46,46,45,25,5,2,0,0,0,0,0","6","4"
"2024-10-03 18:50:00","-0.0001642536,-0.04399896,0.1313083","1.7729,30.63413,15.8842,26.96004,44.42598,-55.65656","4","0.0537","34,34,30,29,24,19,6,1,0,0,0,0,0","6","4"
"2024-10-03 18:50:15","-0.001814674,-0.0337558,0.1407376","0.6463572,29.06943,18.52324,24.06775,39.83136,-31.49994","18","0.1049","46,46,46,46,44,33,12,5,3,1,0,0,0","6","5"
"2024-10-03 18:50:30","-0.005973738,-0.03553041,0.1225548","31.79117,40.0191,8.936265,21.9301,13.3397,-29.28983","20","0.07460001","44,44,44,43,39,22,1,0,0,0,0,0,0","5","6"
"2024-10-03 18:50:48","-0.004896056,-0.03186646,0.131563","9.189012,28.88407,22.34854,33.25671,23.33281,-59.50402","36","0.1181","47,47,47,47,45,42,20,5,1,0,0,0,0","6","4"
"2024-10-03 18:50:58","0,0,0","0,0,0,0,0,0","0","0","0","0","0"
"2024-10-03 18:51:10","-0.003376359,-0.02257577,0.1446658","-5.200583,28.92549,18.13643,25.95874,44.32638,-47.44155","9","0.14835","47,47,47,47,47,45,27,6,1,0,0,0,0","7","4"
"2024-10-03 18:51:26","-0.003485519,-0.004521992,0.1398375","15.63783,23.49059,27.22394,21.09524,35.90483,-64.46597","22","0.17105","47,47,47,47,47,45,35,18,3,0,0,0,0","7","4"
"2024-10-03 18:51:40","0.006301119,-0.01294243,0.1446613","17.05275,30.17739,17.27605,33.84894,38.30754,-53.93507","18","0.1474","45,45,45,44,44,41,27,9,1,0,0,0,0","7","4"
"2024-10-03 18:52:00","0.007530116,-0.04710206,0.13898","-5.931667,32.61299,12.59605,10.12826,42.61771,-48.98355","46","0.07705002","47,47,47,47,40,23,5,0,0,0,0,0,0","5","4"
"2024-10-03 18:52:13","0.009855322,-0.02863017,0.1435118","16.66823,18.42414,32.55238,22.0961,46.18843,-44.09281","9","0.1543","47,47,47,47,47,44,18,8,3,2,1,0,0","6","4"
"2024-10-03 18:52:31","-0.005418654,0.02340128,0.144366","-3.361878,20.31304,29.9798,17.83097,45.32826,-36.43715","37","0.27375","48,48,47,47,47,47,46,30,4,0,0,0,0","8","3"
"2024-10-03 18:52:44","-0.003119294,-0.0443469,0.1289923","10.06503,30.29601,17.16948,30.89139,38.48668,-46.77475","13","0.11735","39,39,36,36,35,31,22,14,4,2,1,0,0","7","4"
"2024-10-03 18:52:54","0,0,0","0,0,0,0,0,0","0","0","0","0","0"
"2024-10-03 18:53:13","0.01193845,-0.01809625,0.1316655","24.84209,42.12893,7.808493,24.72957,4.870918,-24.4562","39","0.1535","45,45,45,45,45,42,30,11,0,0,0,0,0","7","6"
"2024-10-03 18:53:26","-0.004422247,-0.01864604,0.1449896","6.152938,23.58371,25.30268,21.3997,44.91909,-48.49638","13","0.1381","47,47,47,47,47,45,27,5,0,0,0,0,0","7","4"
"2024-10-03 18:53:39","0.003154431,-0.03730977,0.1320878","-3.91067,36.75999,7.805167,36.66206,36.97362,-41.55246","10","0.11095","47,47,47,47,46,33,9,0,0,0,0,0,0","6","4"
"2024-10-03 18:53:56","-0.0002906426,-0.004210583,0.1412582","20.91199,45.7207,-8.148161,30.90802,48.36993,-56.53045","31","0.1799999","47,47,47,46,46,45,35,12,1,0,0,0,0","7","4"
"2024-10-03 18:54:12","0.008866505,-0.03584678,0.1320981","9.872053,29.00474,20.33615,44.27246,30.35746,-58.27324","26","0.06770001","41,41,41,40,31,19,9,0,0,0,0,0,0","5","4"
"2024-10-03 18:54:27","-0.009485377,-0.04185392,0.1375336","0.4554401,30.74271,15.12314,18.68955,44.36989,-49.43229","21","0.0593","46,46,46,44,35,22,4,2,0,0,0,0,0","5","4"
"2024-10-03 18:54:45","0.005076591,-0.03036011,0.1259312","10.53559,34.4477,10.31083,36.95327,46.81084,-68.51209","34","0.1218","44,44,44,43,43,40,25,14,2,0,0,0,0","7","5"
"2024-10-03 18:54:58","0.007039066,0.02261006,0.1437655","2.763768,15.21509,35.41627,16.63322,51.24215,-24.1436","14","0.18245","45,45,45,45,45,44,38,8,0,0,0,0,0","7","6"
"2024-10-03 18:55:08","0,0,0","0,0,0,0,0,0","0","0","0","0","0"
"2024-10-03 18:55:22","-0.003559082,-0.02146227,0.1349286","-1.634185,38.72545,2.858883,21.38128,46.10748,-63.97621","12","0.11095","47,47,47,47,46,33,12,1,0,0,0,0,0","6","4"
"2024-10-03 18:55:35","0.004350392,-0.02032105,0.143845","4.049239,26.40245,20.71913,27.48311,50.55811,-72.61375","10","0.1062","40,40,39,39,38,33,16,2,1,0,0,0,0","6","4"
"2024-10-03 18:55:51","-0.006716605,-0.03065374,0.1326646","-2.634979,37.55042,5.97061,24.29948,38.77935,-48.88901","29","0.1381","46,46,46,46,46,38,18,6,1,1,1,0,0","6","4"
"2024-10-03 18:56:05","0.002909548,-0.02307471,0.1383612","6.81888,25.57619,23.12506,33.69343,43.58077,-61.8116","17","0.1544","44,44,44,44,42,38,27,8,1,1,0,0,0","7","4"
"2024-10-03 18:56:23","-0.004771027,-0.007217823,0.1402454","28.32083,51.18058,-12.0997,29.3788,24.69888,-36.94292","32","0.17055","45,45,45,45,45,45,32,16,5,2,0,0,0","7","6"
"2024-10-03 18:56:39","-0.006808269,-0.009083754,0.1427814","21.4705,36.16651,7.847886,26.55815,38.64833,-49.62348","29","0.17575","47,47,47,46,46,45,35,11,0,0,0,0,0","7","4"
"2024-10-03 18:56:54","-0.01007222,-0.005361743,0.1430368","-9.823827,36.88735,8.998371,32.83824,28.04121,-37.36707","18","0.2097999","47,47,47,47,47,47,38,13,3,2,1,0,0","7","4"
"2024-10-03 18:57:12","-0.004580243,-0.02523138,0.1440827","10.90951,25.91171,22.05737,18.77046,42.66596,-45.64644","38","0.13005","47,47,47,47,47,41,21,5,1,1,0,0,0","6","4"
"2024-10-03 18:57:22","0,0,0","0,0,0,0,0,0","0","0","0","0","0"
"2024-10-03 18:57:36","0.00819945,0.0233784,0.1357796","16.62086,19.09425,31.30477,13.73327,45.96099,-26.38104","16","0.2751","47,47,47,47,47,47,47,28,1,0,0,0,0","8","4"
"2024-10-03 18:57:48","-0.01100268,0.02800838,0.1417338","-4.271816,27.17537,19.60433,15.84986,47.52291,-45.67854","6","0.2958","46,46,46,46,46,46,46,34,5,0,0,0,0","8","4"
"2024-10-03 18:58:02","-0.008313928,-0.009813689,0.1439217","3.257006,25.30834,22.66883,17.3273,44.0188,-39.17992","13","0.1607","48,47,47,47,47,47,29,14,3,1,0,0,0","7","3"
"2024-10-03 18:58:12","0,0,0","0,0,0,0,0,0","0","0","0","0","0"
"2024-10-03 18:58:24","0.01421618,-0.04163526,0.1269069","-1.353892,25.20885,22.74912,25.75463,46.67474,-75.33211","6","0.09095001","45,45,44,44,42,33,8,0,0,0,0,0,0","6","5"
"2024-10-03 18:58:37","-0.002392748,-0.006781507,0.1418317","-0.8576203,22.16744,27.39835,24.92061,43.65299,-23.90278","11","0.2058","48,48,47,47,47,47,46,17,4,1,0,0,0","7","3"
"2024-10-03 18:58:51","-0.00336929,-0.03880187,0.1365157","1.295468,29.85421,18.32278,11.64871,31.64865,-45.31401","16","0.0603","45,45,45,45,36,9,0,0,0,0,0,0,0","5","4"
"2024-10-03 18:59:08","-0.0002922318,-0.00773707,0.1418327","7.942082,26.43568,21.58965,13.26653,38.95325,-54.62055","32","0.2218999","47,47,47,47,47,46,44,16,3,1,0,0,0","7","4"
"2024-10-03 18:59:21","-0.004770942,-5.012296E-05,0.1402116","10.16834,18.51001,31.07797,17.82807,55.82889,-13.6172","11","0.28695","47,47,47,47,47,47,45,30,4,1,0,0,0","8","4"
"2024-10-03 18:59:34","-0.01088515,-0.0361468,0.1317088","14.41643,29.63956,21.3988,30.77071,20.20753,-36.11623","12","0.122","47,47,47,47,45,42,24,8,1,0,0,0,0","7","4"
"2024-10-03 18:59:51","-0.001691655,0.03237062,0.1368403","0.06304888,10.19561,41.54052,6.415836,53.406,-36.22999","29","0.3705499","44,44,44,44,44,44,43,35,29,15,8,2,2","9","4"
"2024-10-03 19:00:04","0.004479395,-0.0507127,0.136687","6.808899,28.50682,19.40972,15.73523,35.04956,-38.43711","10","0.0238","41,41,40,32,18,6,2,1,0,0,0,0,0","4","5"
"2024-10-03 19:00:15","-0.0001436077,-3.485166E-06,0.135401","19.59603,26.3642,21.27846,15.19642,43.60607,-27.15091","4","0.0007","1,1,1,1,0,0,0,0,0,0,0,0,0","4","39"
"2024-10-03 19:00:29","-0.008307864,-0.01925604,0.1429726","5.655859,26.40996,21.59813,17.53855,39.10047,-38.91042","16","0.14185","47,47,47,47,47,47,16,3,2,0,0,0,0","6","4"
"2024-10-03 19:00:46","0.01222631,-0.04273543,0.1200074","16.46742,36.39925,7.536433,37.49591,42.77506,-61.61117","30","0.06835","33,33,33,33,30,19,5,2,0,0,0,0,0","6","6"
"2024-10-03 19:00:56","0,0,0","0,0,0,0,0,0","0","0","0","0","0"
"2024-10-03 19:01:11","0.004352751,-0.01230922,0.1423972","-1.18006,23.70921,25.77911,25.33887,39.29342,-34.87819","19","0.1868499","47,47,47,47,47,47,35,17,0,0,0,0,0","7","4"
"2024-10-03 19:01:24","0.003151509,0.04259459,0.1275188","13.76416,20.12062,29.85858,19.5566,47.91135,-11.63909","11","0.4369999","46,46,46,46,46,46,45,45,37,20,4,0,0","9","4"
"2024-10-03 19:01:38","-0.01548143,-0.03376098,0.1442534","-1.264124,28.03126,18.2212,12.6257,45.1386,-49.86623","17","0.0657","47,47,47,47,41,13,2,1,0,0,0,0,0","5","4"
"2024-10-03 19:01:51","-0.005239955,-0.02720019,0.1447071","8.552941,25.9641,21.50459,18.47353,42.40691,-41.50998","9","0.06045","47,47,47,46,37,17,3,0,0,0,0,0,0","5","4"
"2024-10-03 19:02:13","0.003298235,-0.01519421,0.1430921","1.747611,27.81093,18.85316,4.137984,42.36798,-48.30771","25","0.1255501","47,47,47,47,47,32,12,6,0,0,0,0,0","6","4"
"2024-10-03 19:02:29","0.0153081,-0.03511345,0.1425561","6.848844,36.69888,5.176055,30.91815,46.57287,-43.8668","26","0.05450001","47,47,47,46,27,11,2,0,0,0,0,0,0","5","4"
"2024-10-03 19:02:39","0,0,0","0,0,0,0,0,0","0","0","0","0","0"
"2024-10-03 19:02:54","-0.007882968,-0.0157849,0.1409661","19.88931,35.80846,9.73189,32.9967,29.90644,-40.45206","18","0.1316","36,36,36,36,33,32,24,11,3,0,0,0,0","7","4"
"2024-10-03 19:03:09","0.002147665,0.003852356,0.1415837","-8.983603,25.61252,21.55051,9.828007,47.0934,-50.00375","25","0.10445","46,46,46,46,45,33,16,6,0,0,0,0,0","6","4"
"2024-10-03 19:03:23","0.0008994946,-0.03141171,0.142475","9.483908,27.74274,18.99874,23.3146,42.24889,-48.8685","16","0.0521","41,40,40,39,30,22,4,0,0,0,0,0,0","6","4"
"2024-10-03 19:03:36","-0.005450287,-0.01616999,0.1431009","3.175565,28.7882,19.02973,20.64795,33.58672,-34.6913","8","0.1099","46,46,46,46,45,36,10,1,0,0,0,0,0","6","5"
"2024-10-03 19:03:54","-0.006497294,-0.0361459,0.1264688","4.075258,45.70792,-6.020717,33.45626,34.05326,-53.99742","38","0.04940001","42,41,41,39,27,12,2,0,0,0,0,0,0","5","4"
"2024-10-03 19:04:04","0,0,0","0,0,0,0,0,0","0","0","0","0","0"
"2024-10-03 19:04:17","-0.007631315,-0.02815636,0.1379656","5.898013,35.2213,8.023067,20.18265,42.16655,-53.70551","11","0.1833","47,47,47,47,46,45,35,12,1,0,0,0,0","7","4"
"2024-10-03 19:04:27","0,0,0","0,0,0,0,0,0","0","0","0","0","0"
"2024-10-03 19:04:46","-0.007367285,-0.03833011,0.1359698","-0.0356693,36.74542,7.149986,23.26471,34.3557,-47.73007","38","0.07450002","43,43,42,40,34,17,7,2,1,0,0,0,0","5","4"
"2024-10-03 19:05:03","-0.011903,-0.01345219,0.143514","-13.21506,32.0727,12.52445,5.478881,42.89441,-21.76302","31","0.18795","47,47,47,47,47,46,37,15,1,0,0,0,0","7","4"
"2024-10-03 19:05:16","-0.002364146,-0.0458913,0.1269491","7.151053,46.76136,-9.554849,31.76949,43.99363,-55.42411","10","0.0007000001","6,6,2,0,0,0,0,0,0,0,0,0,0","2","14"
"2024-10-03 19:05:32","0.01270638,-0.023906,0.1423433","2.552191,29.31946,19.02999,29.53121,28.55348,-48.19465","28","0.108","47,47,47,47,47,33,5,0,0,0,0,0,0","6","4"
"2024-10-03 19:05:51","-0.00425015,-0.01866261,0.1390738","-11.11199,40.10618,1.91382,27.67484,35.43747,-38.33347","41","0.08820002","47,47,47,47,45,26,5,0,0,0,0,0,0","6","4"
"2024-10-03 19:06:06","0.01417336,-0.03691851,0.1436442","5.935188,40.18,-0.4759763,27.45758,44.04363,-35.27867","18","0.06945001","47,47,47,47,41,17,6,1,0,0,0,0,0","5","4"
"2024-10-03 19:06:18","-0.00675141,0.01810041,0.1441318","9.626661,16.07244,33.87245,16.03218,51.28946,-17.99325","9","0.16555","40,40,40,39,38,38,27,10,5,3,1,1,0","7","9"
"2024-10-03 19:06:31","0.004434769,-0.02796085,0.1439241","8.376233,22.014,26.48115,11.10098,45.22406,-20.39095","9","0.09140005","47,47,47,47,45,20,4,2,0,0,0,0,0","5","4"
"2024-10-03 19:06:51","-0.00509879,-0.03866051,0.1372389","6.252061,36.62193,5.349479,20.11327,44.11475,-46.72309","46","0.07365001","47,47,47,46,42,22,3,2,0,0,0,0,0","5","4"
"2024-10-03 19:07:07","-0.0005610641,-0.01214432,0.1438727","3.515168,25.65354,21.83895,26.32882,42.76863,-60.9291","28","0.12425","47,47,47,47,47,43,18,3,1,1,0,0,0","6","4"
"2024-10-03 19:07:22","-0.003481714,-0.01575179,0.1399697","0.1422531,30.11459,15.40977,21.75513,42.62498,-46.1095","20","0.1414","46,45,44,44,44,43,29,5,0,0,0,0,0","7","4"
"2024-10-03 19:07:34","0.001477839,-0.006532518,0.1427275","-10.1432,18.49197,31.82193,24.26505,43.79053,-28.37421","7","0.20125","47,47,47,47,47,47,40,7,0,0,0,0,0","7","4"
"2024-10-03 19:07:47","0.001104672,0.01363046,0.137052","8.53405,18.74845,31.36435,18.6152,46.72861,-37.5713","12","0.17475","42,42,42,41,41,40,35,9,5,2,1,1,0","7","4"
"2024-10-03 19:08:00","0.007153475,-0.006457291,0.1446217","14.95497,26.38689,20.35076,30.45633,45.73312,-27.00885","10","0.1773499","47,47,47,47,46,46,31,4,1,1,0,0,0","7","4"
"2024-10-03 19:08:15","-0.01190879,0.01328488,0.1383052","-1.403379,17.76095,30.93914,11.15518,60.19675,-15.98506","20","0.19585","47,47,47,47,47,47,39,17,3,1,0,0,0","7","4"
"2024-10-03 19:08:32","-0.002457573,-0.02464908,0.144071","-0.3161642,29.57355,15.64047,23.08843,44.7659,-48.33601","33","0.1458","46,46,46,46,44,44,28,6,3,0,0,0,0","7","4"
"2024-10-03 19:08:45","0.01645028,-0.05056322,0.1205925","18.28786,32.07398,13.5556,38.33285,37.47167,-53.11814","8","0.01295","2,2,2,2,2,2,1,1,1,0,0,0,0","6","45"
"2024-10-03 19:09:02","-0.0009189565,-0.0262175,0.1408442","-2.756165,28.79622,17.50625,19.81424,39.30244,-47.65769","32","0.07025001","46,46,46,46,46,21,2,0,0,0,0,0,0","5","4"
"2024-10-03 19:09:12","0,0,0","0,0,0,0,0,0","0","0","0","0","0"
"2024-10-03 19:09:26","-0.002128005,-0.002006448,0.1424694","11.25093,31.19323,14.34058,34.61318,41.45193,-54.79337","15","0.2239499","47,47,47,47,47,47,40,16,1,0,0,0,0","7","4"
"2024-10-03 19:09:41","0.002034013,-0.01603299,0.142283","12.04786,24.14591,23.25503,20.4473,46.06431,-25.16438","20","0.1819999","47,47,47,47,47,46,30,7,1,0,0,0,0","7","4"
"2024-10-03 19:09:55","0.01795594,-0.02243071,0.1436031","-3.43136,26.04335,22.36075,40.65397,33.83508,-44.09188","15","0.118","47,47,47,47,47,38,11,1,0,0,0,0,0","6","4"
"2024-10-03 19:10:13","-0.008346931,-0.01943703,0.1359289","4.722945,34.98652,11.29584,29.25431,26.80039,-38.8732","39","0.1167","45,45,45,45,44,42,19,1,0,0,0,0,0","6","4"
