"Timestamp","BTOffset","Init_Angles","GraspSteps","CumulativeReward","checkpointVisitedTimes","Vaild_CP","First_CP_Step"
"2024-10-03 08:45:05","-0.01602599,0.02856779,0.1448242","7.877725,21.33733,30.45018,34.28391,43.25626,8.036929","7","0.2849","47,47,47,47,47,47,47,31,7,1,0,0,0","8","4"
"2024-10-03 08:45:22","-0.007338409,0.03470009,0.1356974","17.71545,20.44079,31.29118,28.15108,45.05986,16.48104","27","0.30975","48,47,47,47,47,47,47,43,6,1,0,0,0","8","3"
"2024-10-03 08:45:35","-0.007177398,-0.039498,0.125757","13.16834,53.11361,-17.88414,41.76644,48.19474,-53.14933","11","0.09985004","42,42,42,42,40,25,14,5,3,2,0,0,0","6","6"
"2024-10-03 08:45:48","-0.01469503,0.02926041,0.1285999","-6.185044,18.1976,33.7158,26.08032,57.5658,12.75916","14","0.2932499","49,49,49,49,48,47,47,37,12,3,1,0,0","8","2"
"2024-10-03 08:46:01","-0.01024951,0.04405866,0.1331228","-9.049953,18.1543,32.21845,25.12151,66.23463,11.88918","8","0.4913997","41,41,41,41,41,41,41,40,35,27,6,0,0","10","9"
"2024-10-03 08:47:20","-0.007111426,0.04058189,0.1418679","11.37722,14.76134,37.134,34.22025,54.38182,15.67748","16","0.2632","39,39,39,39,39,39,39,37,16,2,1,0,0","8","12"
"2024-10-03 08:47:34","-0.0008724956,0.0451362,0.1230677","7.316142,17.76624,34.54235,29.16774,53.15442,15.03503","17","0.4275999","44,44,44,44,42,42,42,40,34,15,8,1,0","9","2"
"2024-10-03 08:47:49","-0.01337638,-0.01851004,0.1444532","8.889649,23.72676,25.22164,-10.74088,50.6469,-88.70447","17","0.1516","47,47,47,47,45,39,24,11,3,1,0,0,0","7","4"
"2024-10-03 08:48:03","0.004475797,0.01907846,0.1399726","3.064646,15.40596,36.27961,19.66787,53.51385,16.09041","20","0.20125","47,47,47,47,47,47,40,14,2,0,0,0,0","7","4"
"2024-10-03 08:48:16","-0.004523575,0.0364675,0.1295996","3.566323,18.26963,33.94878,30.68671,66.06581,8.192665","10","0.32165","47,47,47,47,47,47,47,44,15,6,0,0,0","8","4"
"2024-10-03 08:48:28","0.01445349,0.02590496,0.1417227","-18.93898,26.78996,21.99314,32.37183,54.08231,-50.21572","4","0.2014","44,44,44,43,43,43,43,22,4,0,0,0,0","7","3"
"2024-10-03 08:48:40","-0.01595167,0.04399065,0.1371341","5.880893,15.60085,36.4611,28.50013,48.06622,21.36203","8","0.2512999","28,28,28,28,28,28,26,25,21,12,6,0,0","9","3"
"2024-10-03 08:48:56","0.007739354,-0.02929177,0.124477","6.949597,45.97005,-1.461205,37.74256,18.34208,-27.89862","24","0.1888","42,42,42,42,42,40,37,9,2,1,0,0,0","7","9"
"2024-10-03 08:49:10","-0.01022869,0.04402336,0.1323197","6.175331,16.28696,35.79955,29.49884,54.73325,15.70004","18","0.5758998","48,48,48,48,47,47,47,47,47,35,3,0,0","10","3"
"2024-10-03 08:49:23","0.002517485,0.005311627,0.1447007","11.97846,23.55001,26.32006,21.86657,42.96497,16.57914","10","0.10475","45,45,45,45,42,24,8,4,0,0,0,0,0","6","4"
"2024-10-03 08:49:36","-0.003949128,0.03180334,0.1325126","21.66021,16.63128,35.89816,28.36831,44.51387,23.45331","10","0.3264999","46,46,46,46,46,46,46,43,26,7,0,0,0","9","4"
"2024-10-03 08:49:51","-0.0105174,0.05153067,0.1401037","20.86436,23.59568,26.72047,27.25353,43.96773,6.595819","20","0.5730998","33,33,33,33,33,33,33,33,33,31,25,1,0","11","4"
"2024-10-03 08:50:03","-0.008992421,0.03297783,0.1344487","-2.254232,16.78511,35.46339,23.95695,48.42175,18.81599","8","0.2106999","48,48,48,48,47,47,47,24,1,0,0,0,0","7","3"
"2024-10-03 08:50:17","0.003482744,0.03972723,0.1319689","9.271449,19.08271,32.2102,29.79307,53.86699,12.75614","17","0.2986499","36,36,36,36,36,36,35,34,22,3,1,0,0","9","3"
"2024-10-03 08:50:30","-0.003892661,0.002433993,0.1411098","0.1999582,33.1184,16.07939,16.14817,25.52972,2.594745","8","0.11175","47,47,47,47,47,34,4,1,1,0,0,0,0","6","4"
"2024-10-03 08:50:42","-0.01081809,0.03695364,0.140338","-3.398048,17.55085,33.90285,19.57924,46.13086,19.75331","8","0.3894499","48,48,48,48,48,48,48,46,23,6,0,0,0","8","3"
"2024-10-03 08:50:54","-0.001498774,-3.662814E-05,0.143367","-13.97412,27.51404,21.2515,14.27822,40.54302,6.225772","6","0.32055","49,49,49,49,48,48,47,37,25,6,1,0,0","9","2"
"2024-10-03 08:51:07","-0.01599295,0.04085292,0.1443","-2.294661,14.13769,38.08322,33.07167,53.22298,11.60461","12","0.3378","48,48,48,48,48,47,47,47,24,2,1,0,0","8","3"
"2024-10-03 08:51:21","0.01205292,-0.04446076,0.1291018","10.79252,45.99858,-5.47819,31.32112,33.49022,-27.20982","13","0.03855001","34,34,34,32,21,9,4,2,1,0,0,0,0","5","9"
"2024-10-03 08:51:33","-0.01260191,0.03243858,0.1446665","8.975497,14.41809,38.30058,32.099,44.98651,23.0673","7","0.30775","47,47,46,46,46,46,46,43,9,1,0,0,0","8","3"
"2024-10-03 08:51:45","-0.01095961,0.04480814,0.1382546","15.56704,15.5906,37.39017,36.43724,51.45157,3.296812","6","0.3220999","28,28,28,28,28,28,28,28,23,21,12,1,1","10","3"
"2024-10-03 08:52:03","-0.006480214,-0.02023573,0.1335566","20.06347,39.19049,13.68987,19.51965,-0.9923343,2.609573","35","0.1459","40,40,40,40,39,37,29,12,3,1,0,0,0","7","4"
"2024-10-03 08:52:17","-0.001582786,0.03714858,0.1244642","1.058252,21.04823,29.54646,30.95868,59.43312,8.132202","18","0.3700499","46,46,46,46,46,46,44,44,25,13,6,0,0","9","3"
"2024-10-03 08:52:31","-0.001598486,-0.05426732,0.1039103","21.80934,42.41033,11.16122,25.91594,-8.264647,-6.062621","18","0","0,0,0,0,0,0,0,0,0,0,0,0,0","0","0"
"2024-10-03 08:52:46","-5.124975E-05,0.03743171,0.1275115","4.324402,20.08303,31.21817,30.47268,63.6048,7.920289","17","0.3885998","48,48,48,48,47,47,46,44,34,12,3,0,0","9","3"
"2024-10-03 08:52:58","0.005306692,-0.03736119,0.1357099","-7.816896,29.76716,18.85122,22.12473,34.25322,-4.557218","6","0.1033","47,47,47,47,42,28,16,2,0,0,0,0,0","6","4"
"2024-10-03 08:53:14","-0.00333367,0.0334941,0.1329032","2.898791,22.74047,26.75031,27.96562,51.27631,10.36283","30","0.3592999","41,41,41,41,41,39,38,36,29,9,2,1,0","9","2"
"2024-10-03 08:53:30","0.01047484,-0.02479447,0.1281448","12.50031,34.95,15.70129,15.34294,15.41181,11.34407","24","0.2799999","44,44,44,44,42,42,40,30,18,6,4,1,0","8","4"
"2024-10-03 08:53:44","0.009985093,0.03134241,0.1360993","13.792,24.37649,24.08047,26.88554,54.24174,9.084995","18","0.3964499","48,48,47,47,47,47,47,46,31,8,0,0,0","9","3"
"2024-10-03 08:53:59","-0.005541805,0.05270068,0.1204905","13.84316,22.49472,27.30154,26.74191,62.09884,8.738443","18","0.5787498","42,42,42,42,42,42,42,42,40,35,14,1,0","10","4"
"2024-10-03 08:54:12","0.003581011,0.04021696,0.137225","12.84392,21.48668,28.55064,26.61986,47.65828,14.45521","13","0.4200998","47,47,47,47,47,47,47,46,37,9,1,0,0","9","4"
"2024-10-03 08:54:26","-0.01595254,0.04242118,0.1388274","-7.010203,12.27643,39.50911,29.58151,64.03728,12.84311","16","0.3213999","42,42,42,41,41,41,40,40,26,17,10,0,0","9","5"
"2024-10-03 08:54:40","-0.01859521,0.03754019,0.1417849","-3.781866,19.63952,30.67577,28.32411,56.02515,12.51027","17","0.3266","48,48,48,48,47,47,47,47,13,4,0,0,0","8","3"
"2024-10-03 08:54:54","-0.007454522,-0.006428678,0.1430292","15.58904,30.69866,14.14449,5.799604,50.43674,-76.15982","13","0.24825","47,47,47,47,47,46,45,26,8,2,1,0,0","8","4"
"2024-10-03 08:55:08","-0.00394687,0.03911433,0.1415906","17.09097,24.39933,24.60859,28.01935,46.10545,2.600592","16","0.5907999","46,46,46,46,46,46,46,45,43,39,11,0,0","10","4"
"2024-10-03 08:55:23","-0.01154304,0.05202651,0.1377976","5.913197,17.95782,33.84198,19.27201,40.85021,25.2943","24","0.4135498","34,34,34,34,34,34,32,32,32,25,15,1,0","10","3"
"2024-10-03 08:55:37","-0.0003719239,0.02707591,0.1327982","14.44763,21.72293,28.32775,27.8262,61.15852,6.646708","15","0.3024","48,47,47,47,47,47,47,41,23,7,1,0,0","8","3"
"2024-10-03 08:55:51","-0.01119193,0.04683195,0.134401","13.26658,22.04692,27.62009,28.2825,52.93024,5.278392","16","0.4797997","35,35,35,35,35,35,35,35,34,26,18,2,1","11","16"
"2024-10-03 08:56:05","0.01105278,-0.01815948,0.1341885","16.044,50.63253,-6.591928,24.99479,7.425205,-12.70848","13","0.1727","47,46,46,46,44,43,35,19,4,1,0,0,0","7","4"
"2024-10-03 08:56:18","-0.01558048,0.04258092,0.1200706","0.02387557,16.51041,35.60697,29.88985,58.60808,12.7552","13","0.24685","33,33,32,31,31,30,30,29,21,9,1,0,0","9","2"
